x,y
3270.462890625,-2301.701904296875
4296.4365234375,-975.5567016601562
3469.82470703125,-2891.885498046875
3330.833740234375,-3379.787841796875
3658.70751953125,-3101.33056640625
3891.363525390625,-2313.99560546875
3670.1396484375,-3693.94775390625
4083.56201171875,-2253.1171875
3776.895263671875,-3442.9169921875
4218.04931640625,-2418.1572265625
3554.97509765625,-2583.697998046875
3968.072509765625,-1199.10009765625
3563.556396484375,-1465.4056396484375
4392.9755859375,-1293.079833984375
4048.3759765625,-41.09699630737305
4202.82177734375,-2724.96240234375
4118.22900390625,-2560.374267578125
3221.979248046875,-2984.15673828125
3782.03515625,-995.800537109375
4179.896484375,-2136.8046875
3562.620361328125,-1283.9002685546875
3434.42626953125,-2907.40966796875
4205.21435546875,-3079.202880859375
3907.056640625,-1523.350341796875
4229.32421875,-1915.798583984375
3989.629150390625,-2306.36083984375
4069.111328125,-2849.492431640625
4245.4765625,-1311.9639892578125
3778.1953125,-3497.074462890625
4587.7216796875,-669.531982421875
4229.5576171875,-2385.385009765625
2976.9033203125,-5006.0400390625
3855.214599609375,-413.4886779785156
3736.342041015625,-1279.6978759765625
3598.3271484375,-3454.863037109375
4188.52587890625,-798.072265625
4170.35107421875,-934.1736450195312
3617.624267578125,-1190.48388671875
5526.5908203125,-93.41624450683594
3473.56689453125,-2875.925537109375
3728.638916015625,-2162.019775390625
3634.597412109375,-4289.48974609375
4548.87109375,-1339.962158203125
4234.39794921875,-736.918212890625
4378.26611328125,-972.48388671875
4088.98828125,-3629.91064453125
4428.03076171875,-1051.922119140625
4024.749267578125,-221.29147338867188
4454.12744140625,-1289.1727294921875
3901.214599609375,-1743.2176513671875
4392.490234375,-1140.2171630859375
3500.96240234375,-1972.671630859375
4109.16845703125,-3258.233154296875
3896.8408203125,-3930.6494140625
3994.952880859375,-808.9299926757812
4498.8076171875,-1013.7610473632812
4377.943359375,-1329.9156494140625
3223.598388671875,-4598.21435546875
4830.728515625,-484.33331298828125
3833.348876953125,-3494.382568359375
3948.89697265625,-1408.1788330078125
3075.942626953125,-3502.435791015625
4479.74462890625,-1513.372802734375
4434.2314453125,-441.8222351074219
4734.14794921875,-115.51158142089844
4020.306640625,-216.96743774414062
4238.73046875,-2388.61865234375
4032.504638671875,-2951.066650390625
3715.1396484375,-2258.402099609375
3492.16259765625,-922.3428344726562
4161.48291015625,-720.1259765625
3863.3349609375,-864.976318359375
1910.6639404296875,-2092.7275390625
4259.2421875,-672.9087524414062
4216.05859375,-1682.6314697265625
4342.77490234375,-2430.262451171875
4523.98974609375,-1224.663330078125
4515.373046875,-2359.000244140625
4830.505859375,-1046.42236328125
4040.166748046875,-2176.90087890625
4419.953125,-129.41929626464844
4635.48583984375,-903.8190307617188
3819.908935546875,-2179.01513671875
4082.53662109375,-1030.736328125
3766.151611328125,-1208.3922119140625
4735.90576171875,-78.63876342773438
4626.26416015625,-205.9167022705078
3330.049072265625,-2243.96875
4379.96484375,-1897.0782470703125
4342.8466796875,-1208.19970703125
4323.822265625,-1638.1058349609375
4913.8095703125,-715.980224609375
4049.917236328125,-1735.55908203125
4056.83984375,-1630.103515625
4693.57373046875,-853.0027465820312
3695.60498046875,-1015.9132690429688
4640.43798828125,-118.54210662841797
3697.061279296875,-3560.341064453125
3486.69091796875,-2708.71484375
3759.22021484375,-2201.20654296875
4749.1806640625,-1047.265869140625
3999.22021484375,-1171.447509765625
4485.15771484375,-2346.534912109375
3921.130126953125,-2778.837158203125
